Model,Window,K,Accuracy,Balanced Accuracy,G-Mean,F1-Score_Música,Sensitivity_Música,Specificity_Música,F1-Score_Leer,Sensitivity_Leer,Specificity_Leer,F1-Score_Meditar,Sensitivity_Meditar,Specificity_Meditar,F1-Score_Matemáticas,Sensitivity_Matemáticas,Specificity_Matemáticas,Time(s)
VotingClassifier,3,33,0.5481481481481482,0.8365740740740739,0.5389578074652799,0.906801007556675,0.5925925925925926,0.4915514592933948,0.7695067264573993,0.5314814814814814,0.4991304347826087,0.7650485436893204,0.6666666666666666,0.7346938775510204,0.9024390243902439,0.40185185185185185,0.48873873873873874,118.13559285004932
StackingClassifier,2,33,0.5354166666666667,0.9618055555555556,0.524367739451618,0.9809264305177112,0.5333333333333333,0.5133689839572193,0.9269746646795828,0.4666666666666667,0.5401929260450161,0.945260347129506,0.7194444444444444,0.6658097686375322,0.9917355371900827,0.4222222222222222,0.41530054644808745,49790.71616601944
StackingClassifier,2,39,0.5416666666666666,0.9784722222222222,0.5309697353659397,0.9903713892709767,0.5555555555555556,0.5449591280653951,0.9887640449438202,0.5,0.5113636363636364,0.967741935483871,0.7055555555555556,0.6614583333333334,0.9670014347202296,0.40555555555555556,0.4332344213649852,1634.010025024414
SVM,2,39,0.46944444444444444,0.8291666666666666,0.4452465240587084,0.9090909090909091,0.5611111111111111,0.4675925925925926,0.811267605633803,0.4444444444444444,0.45714285714285713,0.774025974025974,0.6166666666666667,0.5414634146341464,0.8157894736842105,0.25555555555555554,0.3709677419354839,22.58623003959656
SVM,1,44,0.4791666666666667,0.9097222222222223,0.4614239167475079,0.9399477806788512,0.5388888888888889,0.47783251231527096,0.9154518950437318,0.4388888888888889,0.48466257668711654,0.8923076923076922,0.6388888888888888,0.5476190476190477,0.888888888888889,0.3,0.375,8.805782318115234
VotingClassifier,2,37,0.5513888888888889,0.7993055555555555,0.5385809535444129,0.8674698795180723,0.65,0.4978723404255319,0.7052186177715091,0.49722222222222223,0.5128939828080229,0.7446504992867333,0.6694444444444444,0.7067448680351907,0.8750000000000001,0.3888888888888889,0.5,386.56084397633873
AdaBoost,4,38,0.5305555555555556,0.8319444444444445,0.5265498066151814,0.9254498714652957,0.5430555555555555,0.4677033492822967,0.7611846250787649,0.5527777777777778,0.4590542099192618,0.7129485179407176,0.5986111111111111,0.7669039145907474,0.9213483146067416,0.42777777777777776,0.5008130081300813,53.7346293926239
StackingClassifier,3,35,0.5412037037037037,0.9652777777777778,0.5334645397973319,0.989010989010989,0.5296296296296297,0.5181159420289855,0.9422135161606268,0.48148148148148145,0.5405405405405406,0.9432943294329433,0.7,0.6619964973730298,0.9854014598540146,0.4537037037037037,0.44064748201438847,44475.37639570236
Random Forest,2,39,0.5694444444444444,0.9444444444444444,0.5591033381912187,0.9399477806788512,0.5805555555555556,0.5147783251231527,0.9208211143695014,0.5055555555555555,0.5652173913043478,0.9539295392953928,0.7444444444444445,0.708994708994709,0.962536023054755,0.44722222222222224,0.4820359281437126,60.90758490562439
MLP,1,31,0.27361111111111114,0.8416666666666667,0.267407449560889,0.8990825688073394,0.21666666666666667,0.2653061224489796,0.8,0.37777777777777777,0.2518518518518518,0.7522935779816514,0.25555555555555554,0.3129251700680272,0.9285714285714286,0.24444444444444444,0.28205128205128205,4.230090618133545
