Model,Window,K,Accuracy,G-Mean,F1-Score General,Sensibilidad Promedio,Especificidad General,F1-Score_Música,Sensitivity_Música,Specificity_Música,F1-Score_Leer,Sensitivity_Leer,Specificity_Leer,F1-Score_Meditar,Sensitivity_Meditar,Specificity_Meditar,F1-Score_Matemáticas,Sensitivity_Matemáticas,Specificity_Matemáticas,Time(s)
KNN,3,5,0.29953703703703705,0.2983704017427572,0.8987998168160216,0.29953703703703705,0.7665123456790124,0.9383145091225021,0.3425925925925926,0.737037037037037,0.8397493285586393,0.2740740740740741,0.7351851851851852,0.85459940652819,0.30185185185185187,0.8098765432098766,0.962536023054755,0.2796296296296296,0.7839506172839507,0.3991837501525879
StackingClassifier,4,41,0.5472222222222223,0.5378606382710536,0.9792509111666163,0.5472222222222222,0.8490740740740741,0.994475138121547,0.5291666666666667,0.8393518518518519,0.9728958630527818,0.4736111111111111,0.8421296296296297,0.9651474530831099,0.7263888888888889,0.8847222222222222,0.9844851904090267,0.4597222222222222,0.8300925925925926,2891.9977974891663
VotingClassifier,1,50,0.5555555555555556,0.5427292777248679,0.9095817523825682,0.5555555555555556,0.8518518518518519,0.9350649350649352,0.6111111111111112,0.8240740740740741,0.8757062146892656,0.5333333333333333,0.8555555555555555,0.8895027624309393,0.6944444444444444,0.8944444444444445,0.9380530973451328,0.38333333333333336,0.8333333333333334,447.08749233086905
StackingClassifier,2,43,0.5340277777777778,0.5218709617288811,0.9680557500326894,0.5340277777777778,0.8446759259259259,0.9809264305177112,0.55,0.837037037037037,0.9758179231863442,0.4861111111111111,0.8444444444444444,0.9574468085106383,0.7083333333333334,0.8731481481481481,0.9580318379160637,0.39166666666666666,0.8240740740740741,1748.7063462734222
VotingClassifier,3,43,0.55,0.53780632604812,0.7970339177126273,0.5499999999999999,0.85,0.8787632221318145,0.6351851851851852,0.7864197530864198,0.7122040072859745,0.5222222222222223,0.8296296296296296,0.7221684414327203,0.6611111111111111,0.9160493827160494,0.8750000000000001,0.3814814814814815,0.8679012345679012,96.3470408598582
GaussianNB,3,25,0.3337962962962963,0.15080750314867733,0.2956771700501108,0.3337962962962963,0.7779320987654321,0.7627118644067796,0.5351851851851852,0.6376543209876543,0.23817863397548164,0.6907407407407408,0.5061728395061729,0.0,0.09444444444444444,0.9962962962962963,0.18181818181818182,0.014814814814814815,0.971604938271605,0.0758183002471923
XGBoost,1,44,0.5513888888888889,0.5430862668128914,0.9583134708544071,0.5513888888888889,0.850462962962963,0.9655172413793104,0.49444444444444446,0.8537037037037037,0.9273743016759777,0.5388888888888889,0.85,0.9513513513513514,0.7166666666666667,0.8870370370370371,0.989010989010989,0.45555555555555555,0.8111111111111111,1139.8242359161377
VotingClassifier,3,50,0.5546296296296296,0.5443645517898493,0.8195619622536967,0.5546296296296296,0.8515432098765432,0.9045226130653267,0.6277777777777778,0.8055555555555556,0.7586821015138022,0.5481481481481482,0.8228395061728395,0.7365384615384615,0.65,0.9080246913580247,0.8785046728971964,0.3925925925925926,0.8697530864197531,142.81427069505057
Random Forest,1,39,0.5625,0.5517630078780856,0.9442567429202551,0.5625,0.8541666666666666,0.932642487046632,0.6,0.8185185185185185,0.913946587537092,0.5,0.8759259259259259,0.9619565217391305,0.7222222222222222,0.8925925925925926,0.9684813753581661,0.42777777777777776,0.8296296296296296,43.020705699920654
StackingClassifier,4,33,0.5152777777777777,0.5030949001974802,0.9666430883547713,0.5152777777777777,0.8384259259259259,0.975609756097561,0.5097222222222222,0.8199074074074074,0.9667844522968198,0.425,0.8199074074074074,0.959404600811908,0.7097222222222223,0.8856481481481482,0.9647735442127966,0.4166666666666667,0.8282407407407407,1412.8917951583862
